series	season	category	title
classic-who	9	Main Show	The Time Monster (5)
classic-who	9	Main Show	The Time Monster (6)
classic-who	10	Main Show	The Three Doctors (1)
classic-who	10	Main Show	The Three Doctors (2)
classic-who	10	Main Show	The Three Doctors (3)
classic-who	10	Main Show	The Three Doctors (4)
classic-who	10	Main Show	Carnival of Monsters (1)
classic-who	10	Main Show	Carnival of Monsters (2)
classic-who	10	Main Show	Carnival of Monsters (3)
classic-who	10	Main Show	Carnival of Monsters (4)
classic-who	10	Main Show	Frontier in Space (1)
classic-who	10	Main Show	Frontier in Space (2)
classic-who	10	Main Show	Frontier in Space (3)
classic-who	10	Main Show	Frontier in Space (4)
classic-who	10	Main Show	Frontier in Space (5)
classic-who	10	Main Show	Frontier in Space (6)
classic-who	10	Main Show	Planet of the Daleks (1)
classic-who	10	Main Show	Planet of the Daleks (2)
classic-who	10	Main Show	Planet of the Daleks (3)
classic-who	10	Main Show	Planet of the Daleks (4)
classic-who	10	Main Show	Planet of the Daleks (5)
classic-who	10	Main Show	Planet of the Daleks (6)
classic-who	10	Main Show	The Green Death (1)
classic-who	10	Main Show	The Green Death (2)
classic-who	10	Main Show	The Green Death (3)
classic-who	10	Main Show	The Green Death (4)
classic-who	10	Main Show	The Green Death (5)
classic-who	10	Main Show	The Green Death (6)
classic-who	11	Main Show	The Time Warrior (1)
classic-who	11	Main Show	The Time Warrior (2)
classic-who	11	Main Show	The Time Warrior (3)
classic-who	11	Main Show	The Time Warrior (4)
classic-who	11	Main Show	Invasion of the Dinosaurs (1)
classic-who	11	Main Show	Invasion of the Dinosaurs (2)
classic-who	11	Main Show	Invasion of the Dinosaurs (3)
classic-who	11	Main Show	Invasion of the Dinosaurs (4)
classic-who	11	Main Show	Invasion of the Dinosaurs (5)
classic-who	11	Main Show	Invasion of the Dinosaurs (6)
classic-who	11	Main Show	Death to the Daleks (1)
classic-who	11	Main Show	Death to the Daleks (2)
classic-who	11	Main Show	Death to the Daleks (3)
classic-who	11	Main Show	Death to the Daleks (4)
classic-who	11	Main Show	The Monster of Peladon (1)
classic-who	11	Main Show	The Monster of Peladon (2)
classic-who	11	Main Show	The Monster of Peladon (3)
classic-who	11	Main Show	The Monster of Peladon (4)
classic-who	11	Main Show	The Monster of Peladon (5)
classic-who	11	Main Show	The Monster of Peladon (6)
classic-who	11	Main Show	Planet of the Spiders (1)
classic-who	11	Main Show	Planet of the Spiders (2)
classic-who	11	Main Show	Planet of the Spiders (3)
classic-who	11	Main Show	Planet of the Spiders (4)
classic-who	11	Main Show	Planet of the Spiders (5)
classic-who	11	Main Show	Planet of the Spiders (6)
classic-who	12	Main Show	Robot (1)
classic-who	12	Main Show	Robot (2)
classic-who	12	Main Show	Robot (3)
classic-who	12	Main Show	Robot (4)
classic-who	12	Main Show	The Ark in Space (1)
classic-who	12	Main Show	The Ark in Space (2)
classic-who	12	Main Show	The Ark in Space (3)
classic-who	12	Main Show	The Ark in Space (4)
classic-who	12	Main Show	The Sontaran Experiment (1)
classic-who	12	Main Show	The Sontaran Experiment (2)
classic-who	12	Main Show	Genesis of the Daleks (1)
classic-who	12	Main Show	Genesis of the Daleks (2)
classic-who	12	Main Show	Genesis of the Daleks (3)
classic-who	12	Main Show	Genesis of the Daleks (4)
classic-who	12	Main Show	Genesis of the Daleks (5)
classic-who	12	Main Show	Genesis of the Daleks (6)
classic-who	12	Main Show	Revenge of the Cybermen (1)
classic-who	12	Main Show	Revenge of the Cybermen (2)
classic-who	12	Main Show	Revenge of the Cybermen (3)
classic-who	12	Main Show	Revenge of the Cybermen (4)
classic-who	13	Main Show	Terror of the Zygons (1)
classic-who	13	Main Show	Terror of the Zygons (2)
classic-who	13	Main Show	Terror of the Zygons (3)
classic-who	13	Main Show	Terror of the Zygons (4)
classic-who	13	Main Show	Planet of Evil (1)
classic-who	13	Main Show	Planet of Evil (2)
classic-who	13	Main Show	Planet of Evil (3)
classic-who	13	Main Show	Planet of Evil (4)
classic-who	13	Main Show	Pyramids of Mars (1)
