season	category	title	status	note	ceiling	have
8	Main Show	Flatline	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	In the Forest of the Night	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	Dark Water	ok		1080p Blu-ray	1080p 25fps AAC
8	Main Show	Death in Heaven	ok		1080p Blu-ray	1080p 25fps AAC
8	Minisode	Fear Is a Superpower	ok		1080p YouTube	
8	Special	Last Christmas	ok		1080p Blu-ray	1080p 25fps AAC
9	Prequel	Prologue	ok		1080p web	1080p 23.976fps AAC
9	Prequel	The Doctor's Meditation	ok		1080p web	1080p 23.976fps AAC
9	Main Show	The Magician's Apprentice	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	The Witch's Familiar	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	Under the Lake	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	Before the Flood	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	The Girl Who Died	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	The Woman Who Lived	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	The Zygon Invasion	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	The Zygon Inversion	ok		1080p Blu-ray	1080p 25fps AAC
9	Minisode	The Zygon Isolation	ok		1080p YouTube	
9	Main Show	Sleep No More	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	Face the Raven	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	Heaven Sent	ok		1080p Blu-ray	1080p 25fps AAC
9	Main Show	Hell Bent	ok		1080p Blu-ray	1080p 25fps AAC
9	Special	The Husbands of River Song	ok		1080p Blu-ray	1080p 25fps AAC
9	Special	The Return of Doctor Mysterio	ok		1080p Blu-ray	1080p 25fps AAC
10	Prequel	Friend from the Future	ok		1080p web	1080p 25fps AAC
10	Main Show	The Pilot	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	Smile	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	Thin Ice	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	Knock Knock	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	Oxygen	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	Extremis	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	The Pyramid at the End of the World	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	The Lie of the Land	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	Empress of Mars	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	The Eaters of Light	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	World Enough and Time	ok		1080p Blu-ray	1080p 25fps AAC
10	Main Show	The Doctor Falls	ok		1080p Blu-ray	1080p 25fps AAC
10	Minisode	The Best of Days	ok		1080p YouTube	
10	Special	Twice Upon a Time	ok		1080p Blu-ray	1080p 25fps AAC
11	Main Show	The Woman Who Fell to Earth	ok		1080p Blu-ray	1920x960 25fps AAC
11	Main Show	The Ghost Monument	ok		1080p Blu-ray	1920x960 25fps AAC
11	Main Show	Rosa	ok		1080p Blu-ray	1920x960 25fps AAC
11	Main Show	Arachnids in the UK	ok		1080p Blu-ray	1920x960 25fps AAC
11	Main Show	The Tsuranga Conundrum	ok		1080p Blu-ray	1920x960 25fps AAC
11	Main Show	Demons of the Punjab	ok		1080p Blu-ray	1920x960 25fps AAC
11	Main Show	Kerblam!	ok		1080p Blu-ray	1920x960 25fps AAC
11	Main Show	The Witchfinders	ok		1080p Blu-ray	1920x960 25fps AAC
11	Main Show	It Takes You Away	ok		1080p Blu-ray	1920x960 25fps AAC
11	Main Show	The Battle of Ranskoor Av Kolos	ok		1080p Blu-ray	1920x960 25fps AAC
